layer,arm,days,confirmed_paths,days_with_paths,mean_hits,median_life,s5,s15,s30,s60,revival_rate,confirmed_revival_rate,score
absorption,D9,39,24579,39,2.777615037226901,15.0,1.0,0.646527523495667,0.09520322226290737,4.068513771919118e-05,0.017372553806094634,0.017372553806094634,0.3113491191667684
block_activity,D9,39,11532,39,3.119233437391606,15.6122095039889,1.0,0.7346514047866806,0.13284772806104753,0.002428026361429067,0.020204647936177593,0.020204647936177593,0.35600936524453697
flow_return_alignment,D9,39,17360,39,2.3262672811059906,15.0,1.0,0.5588133640552996,0.022638248847926267,0.0,0.0004608294930875576,0.0004608294930875576,0.2535541474654378
large_trade_flow,D9,39,6031,39,2.572044437075112,15.0,1.0,0.6892720941800696,0.06682142264964351,0.0,0.000331619963521804,0.000331619963521804,0.31466589288675173
odd_lot_activity,D9,39,8007,39,2.4662170600724367,14.853253403272136,1.0,0.5717497189958786,0.06469339328087922,0.0008742350443362058,0.0007493443237167478,0.0007493443237167478,0.2729611589858873
off_exchange,D11,39,6383,39,2.464201785994047,15.0,1.0,0.5682281059063137,0.06423311922293592,0.0009399968666771111,0.0,0.0,0.2715024283252389
price_impact,D9,39,22750,39,2.6323516483516483,15.0,1.0,0.6319120879120879,0.07630769230769231,8.791208791208791e-05,0.004659340659340659,0.004659340659340659,0.2983560439560439
report_latency,D9,39,10150,39,2.674975369458128,15.0,1.0,0.7061083743842365,0.06975369458128079,0.0004926108374384236,0.02561576354679803,0.02561576354679803,0.3241871921182266
return_corr,D9,39,20146,39,2.5856745755981336,15.0,1.0,0.638489030080413,0.06229524471359079,0.00034746351633078526,0.0008934776134220193,0.0008934776134220193,0.29541596346669313
signed_flow,D9,39,5599,39,2.309876763707805,15.0,1.0,0.6326129666011788,0.03893552420075013,0.0,0.0005358099660653688,0.0005358099660653688,0.28509555277728166
trade_intensity,D9,39,7913,39,2.558195374699861,15.0,1.0,0.6643498041198028,0.053709086313661066,0.0,0.0024011120940224946,0.0024011120940224946,0.30156072286111457
venue_fragmentation,D9,39,15570,39,2.4344251766217084,15.0,1.0,0.5567758509955042,0.040783558124598586,0.00012845215157353886,0.0007707129094412332,0.0007707129094412332,0.2592421323057161
volume_expansion,D9,39,35606,39,3.083890355558052,15.0,1.0,0.6721058248609785,0.13135426613492107,0.0006178733921249227,0.018592372072122675,0.018592372072122675,0.33316295006459584
