penalty_start_depth,layer_id,layer_name,lookback_minutes,snapshots,avg_leaf_count,median_leaf_size,max_leaf_size,mean_top_sector_share,p90_top_sector_share,sector_pure_60,sector_pure_80
1,12,flow_return_alignment,30,379,156.31662269129288,10.0,1273,0.29426880750699635,0.39082688119219183,238,0
1,11,absorption,30,379,112.84168865435356,10.0,1091,0.2941359707164023,0.39502220073305283,237,1
1,5,large_trade_flow,30,379,33.66754617414248,9.0,694,0.29875709619268587,0.40642491762023414,99,0
1,1,return_corr_raw_1m,30,371,29.62533692722372,9.0,3878,0.29696519312162073,0.4008278429133181,89,5
1,7,block_activity,30,379,32.087071240105544,10.0,343,0.2978667329540737,0.4024267295590319,62,1
1,15,return_corr_cross_sectional_rolling_5m,30,367,15.1716621253406,10.0,2668,0.29164914237755707,0.3933245813963841,27,0
2,12,flow_return_alignment,30,379,163.31926121372032,10.0,1273,0.29320663939021757,0.3894314435036873,243,1
2,11,absorption,30,379,121.65963060686016,10.0,1091,0.29240855348661365,0.3920085437797723,242,0
2,1,return_corr_raw_1m,30,371,32.38544474393531,9.0,3878,0.29737230492755035,0.4028281838750366,103,5
2,5,large_trade_flow,30,379,33.46437994722955,9.0,694,0.2970708566861467,0.40510210678785946,89,0
2,7,block_activity,30,379,33.62796833773087,10.0,343,0.2965581900284304,0.4020401050824446,64,0
2,15,return_corr_cross_sectional_rolling_5m,30,367,15.817438692098092,10.0,2668,0.2900975352433314,0.3909104479993643,25,0
3,12,flow_return_alignment,30,379,163.31926121372032,10.0,1273,0.29320663939021757,0.3894314435036873,243,1
3,11,absorption,30,379,121.65963060686016,10.0,1091,0.29240855348661365,0.3920085437797723,242,0
3,1,return_corr_raw_1m,30,371,32.38544474393531,9.0,3878,0.29737230492755035,0.4028281838750366,103,5
3,5,large_trade_flow,30,379,33.46437994722955,9.0,694,0.2970708566861467,0.40510210678785946,89,0
3,7,block_activity,30,379,33.62796833773087,10.0,343,0.2965581900284304,0.4020401050824446,64,0
3,15,return_corr_cross_sectional_rolling_5m,30,367,15.817438692098092,10.0,2668,0.2900975352433314,0.3909104479993643,25,0
