decision_time,layer_id,layer_name,lookback_minutes,scale_role,root_size,raw_edges,pairs,resolution,child_count,child_median,child_p90,child_max
2026-01-06 14:44:00+00:00,1,return_corr_raw_1m,15,confirm,4495,5878,5878,2.0,116,36.0,59.0,76
2026-01-06 14:44:00+00:00,11,absorption,5,trigger,3928,6105,6105,2.0,147,13.0,39.0,71
2026-01-06 14:44:00+00:00,11,absorption,15,confirm,4059,5556,5556,2.0,176,11.0,24.5,89
2026-01-06 14:44:00+00:00,11,absorption,30,structural,4059,5556,5556,2.0,176,11.0,24.5,89
2026-01-06 14:44:00+00:00,12,flow_return_alignment,5,trigger,380,893,893,1.0,14,10.0,12.4,15
2026-01-06 14:44:00+00:00,12,flow_return_alignment,15,confirm,3357,4822,4822,2.0,144,11.0,19.7,59
2026-01-06 14:44:00+00:00,12,flow_return_alignment,30,structural,3357,4822,4822,2.0,144,11.0,19.7,59
2026-01-06 14:44:00+00:00,14,return_corr_cross_sectional_1m,15,confirm,4232,5588,5588,2.0,102,37.0,57.8,79
2026-01-06 21:00:00+00:00,1,return_corr_raw_1m,15,confirm,4751,6854,6854,2.0,87,50.0,81.6,110
2026-01-06 21:00:00+00:00,1,return_corr_raw_1m,30,structural,4642,5790,5790,2.0,95,43.0,67.6,104
2026-01-06 21:00:00+00:00,11,absorption,5,trigger,4720,7234,7234,2.0,154,18.0,46.0,78
2026-01-06 21:00:00+00:00,11,absorption,15,confirm,4602,6472,6472,2.0,217,12.0,28.4,71
2026-01-06 21:00:00+00:00,11,absorption,30,structural,4390,5533,5533,2.0,171,12.0,32.0,75
2026-01-06 21:00:00+00:00,12,flow_return_alignment,5,trigger,476,1138,1138,1.0,17,10.0,11.0,12
2026-01-06 21:00:00+00:00,12,flow_return_alignment,15,confirm,4108,6011,6011,2.0,189,11.0,29.2,66
2026-01-06 21:00:00+00:00,12,flow_return_alignment,30,structural,4425,6000,6000,2.0,213,11.0,28.8,84
2026-01-06 21:00:00+00:00,14,return_corr_cross_sectional_1m,15,confirm,4751,6854,6854,2.0,87,50.0,81.6,110
2026-01-06 21:00:00+00:00,14,return_corr_cross_sectional_1m,30,structural,4642,5790,5790,2.0,95,43.0,67.6,104
